File  Water Peaks
             
g_density_NVT_sam0_water1000.xvg  [1.446, 43.666800000000002]
             
g_density_NVT_sam0_water2000.xvg  [1.446, 65.455100000000002]
             
g_density_NVT_sam0_water3000.xvg  [1.446, 81.999300000000005]
             
g_density_NVT_sam0_water4000.xvg  [1.446, 98.646900000000002]
             
g_density_NVT_sam0_water5000.xvg  [1.446, 112.73699999999999]
             
g_density_NVT_sam0_water6500.xvg  [1.446, 134.19999999999999]
             
g_density_NVT_sam0_water7000.xvg  [1.446, 139.70699999999999]
             
g_density_NVT_sam0_water8000.xvg  [1.446, 152.55199999999999]
             
g_density_NVT_sam0_water9000.xvg  [1.446, 164.00800000000001]
             
g_density_NVT_sam0_water10000.xvg  [1.446, 175.25999999999999]
             
g_density_NVT_sam11_water1000.xvg  [1.4339999999999999, 99.304500000000004]
             
g_density_NVT_sam11_water2000.xvg  [1.4339999999999999, 133.21000000000001]
             
g_density_NVT_sam11_water3000.xvg  [1.4339999999999999, 162.47300000000001]
             
g_density_NVT_sam11_water4000.xvg  [1.4339999999999999, 209.21899999999999]
             
g_density_NVT_sam11_water5000.xvg  [1.4339999999999999, 219.95500000000001]
             
g_density_NVT_sam11_water6500.xvg  [1.4339999999999999, 248.31700000000001]
             
g_density_NVT_sam11_water7000.xvg  [1.4339999999999999, 283.98399999999998]
             
g_density_NVT_sam11_water8000.xvg  [1.4339999999999999, 303.69999999999999]
             
g_density_NVT_sam11_water9000.xvg  [1.4339999999999999, 309.524]
             
g_density_NVT_sam11_water10000.xvg  [1.4339999999999999, 347.60300000000001]
             
g_density_NVT_sam22_water1000.xvg  [1.3140000000000001, 99.205100000000002]
             
g_density_NVT_sam22_water2000.xvg  [1.302, 170.66800000000001]
             
g_density_NVT_sam22_water3000.xvg  [1.3140000000000001, 224.524]
             
g_density_NVT_sam22_water4000.xvg  [1.302, 275.71600000000001]
             
g_density_NVT_sam22_water5000.xvg  [1.3140000000000001, 309.95699999999999]
             
g_density_NVT_sam22_water6500.xvg  [1.3140000000000001, 375.72399999999999]
             
g_density_NVT_sam22_water7000.xvg  [1.3140000000000001, 389.75700000000001]
             
g_density_NVT_sam22_water8000.xvg  [1.3140000000000001, 413.20999999999998]
             
g_density_NVT_sam22_water9000.xvg  [1.3140000000000001, 462.98399999999998]
             
g_density_NVT_sam22_water10000.xvg  [1.3140000000000001, 491.27999999999997]
             
g_density_NVT_sam33_water1000.xvg  [1.29, 176.03]
             
g_density_NVT_sam33_water2000.xvg  [1.29, 287.11500000000001]
             
g_density_NVT_sam33_water3000.xvg  [1.29, 332.93799999999999]
             
g_density_NVT_sam33_water4000.xvg  [1.29, 399.44200000000001]
             
g_density_NVT_sam33_water5000.xvg  [1.29, 457.66199999999998]
             
g_density_NVT_sam33_water6500.xvg  [1.29, 543.40200000000004]
             
g_density_NVT_sam33_water7000.xvg  [1.29, 568.37800000000004]
             
g_density_NVT_sam33_water8000.xvg  [1.29, 613.22299999999996]
             
g_density_NVT_sam33_water9000.xvg  [1.29, 671.39499999999998]
             
g_density_NVT_sam33_water10000.xvg  [1.29, 717.14400000000001]
             
g_density_NVT_sam37_water1000.xvg  [1.29, 208.97999999999999]
             
g_density_NVT_sam37_water2000.xvg  [1.29, 315.77800000000002]
             
g_density_NVT_sam37_water3000.xvg  [1.29, 376.32299999999998]
             
g_density_NVT_sam37_water4000.xvg  [1.29, 448.93400000000003]
             
g_density_NVT_sam37_water5000.xvg  [1.29, 513.81700000000001]
             
g_density_NVT_sam37_water6500.xvg  [1.29, 626.29300000000001]
             
g_density_NVT_sam37_water7000.xvg  [1.29, 618.41899999999998]
             
g_density_NVT_sam37_water8000.xvg  [1.29, 684.96100000000001]
             
g_density_NVT_sam37_water9000.xvg  [1.29, 752.33299999999997]
             
g_density_NVT_sam37_water10000.xvg  [1.29, 829.86099999999999]
             
g_density_NVT_sam44_water1000.xvg  [1.1699999999999999, 245.50999999999999]
             
g_density_NVT_sam44_water2000.xvg  [1.1699999999999999, 378.548]
             
g_density_NVT_sam44_water3000.xvg  [1.1699999999999999, 522.30200000000002]
             
g_density_NVT_sam44_water4000.xvg  [1.1699999999999999, 613.98500000000001]
             
g_density_NVT_sam44_water5000.xvg  [1.1819999999999999, 696.83500000000004]
             
g_density_NVT_sam44_water6500.xvg  [1.1819999999999999, 828.49900000000002]
             
g_density_NVT_sam44_water7000.xvg  [1.1699999999999999, 900.39099999999996]
             
g_density_NVT_sam44_water8000.xvg  [1.1819999999999999, 977.99400000000003]
             
g_density_NVT_sam44_water9000.xvg  [1.1819999999999999, 1033.22]
             
g_density_NVT_sam44_water10000.xvg  [1.1819999999999999, 1084.73]
g_density_NVT_sam50_water1000.xvg  nan
g_density_NVT_sam50_water2000.xvg  nan
g_density_NVT_sam50_water3000.xvg  nan
g_density_NVT_sam50_water4000.xvg  nan
g_density_NVT_sam50_water5000.xvg  nan
g_density_NVT_sam50_water6500.xvg  nan
g_density_NVT_sam50_water7000.xvg  nan
g_density_NVT_sam50_water8000.xvg  nan
g_density_NVT_sam50_water9000.xvg  nan
g_density_NVT_sam50_water10000.xvg  nan
