File  Contact Angle  Base Radius
             
g_rad_dmap_37pc_w1000_0.0ns_0.5ns.xvg  74.6244194913  2.58046823276
g_rad_dmap_37pc_w1000_0.5ns_1.0ns.xvg  57.2066353354  2.97314302042
g_rad_dmap_37pc_w1000_1.0ns_1.5ns.xvg  52.2903820413  3.0855097379
g_rad_dmap_37pc_w1000_1.5ns_2.0ns.xvg  53.3392828931  3.05869975638
g_rad_dmap_37pc_w1000_2.0ns_2.5ns.xvg  49.3271066529  3.1627613358
g_rad_dmap_37pc_w1000_2.5ns_3.0ns.xvg  50.7682045258  3.13598725007
g_rad_dmap_37pc_w1000_3.0ns_3.5ns.xvg  51.7884944151  3.10232561074
g_rad_dmap_37pc_w1000_3.5ns_4.0ns.xvg  52.2245867053  3.09141462046
g_rad_dmap_37pc_w1000_4.0ns_4.5ns.xvg  57.6231622621  2.97900177437
g_rad_dmap_37pc_w1000_4.5ns_5.0ns.xvg  54.0034331255  3.06320698438
g_rad_dmap_37pc_w1000_5.0ns_5.5ns.xvg  52.2864954413  3.09497763903
g_rad_dmap_37pc_w1000_5.5ns_6.0ns.xvg  51.6206870231  3.1060033112
g_rad_dmap_37pc_w1000_6.0ns_6.5ns.xvg  47.4595203227  3.1976544041
g_rad_dmap_37pc_w1000_6.5ns_7.0ns.xvg  50.1205377713  3.13909490643
g_rad_dmap_37pc_w1000_7.0ns_7.5ns.xvg  51.6522523715  3.10223091593
g_rad_dmap_37pc_w1000_7.5ns_8.0ns.xvg  51.1466926142  3.10799970632
g_rad_dmap_37pc_w1000_8.0ns_8.5ns.xvg  51.25775562  3.12423065575
g_rad_dmap_37pc_w1000_8.5ns_9.0ns.xvg  55.1966294942  3.02977761131
g_rad_dmap_37pc_w1000_9.0ns_9.5ns.xvg  50.1147835395  3.1393206333
g_rad_dmap_37pc_w1000_9.5ns_10.0ns.xvg  50.5827874261  3.1191213237
g_rad_dmap_37pc_w1000_10.0ns_10.5ns.xvg  49.947149064  3.14402676155
g_rad_dmap_37pc_w1000_10.5ns_11.0ns.xvg  48.24113054  3.17618141107
g_rad_dmap_37pc_w1000_11.0ns_11.5ns.xvg  45.1641104857  3.25065286052
g_rad_dmap_37pc_w1000_11.5ns_12.0ns.xvg  47.5942727043  3.18283308638
g_rad_dmap_37pc_w1000_12.0ns_12.5ns.xvg  50.6123834536  3.1316961773
g_rad_dmap_37pc_w1000_12.5ns_13.0ns.xvg  47.0294491254  3.20363696536
g_rad_dmap_37pc_w1000_13.0ns_13.5ns.xvg  48.4120483019  3.17188457338
g_rad_dmap_37pc_w1000_13.5ns_14.0ns.xvg  47.4927049448  3.18482714578
g_rad_dmap_37pc_w1000_14.0ns_14.5ns.xvg  48.822837155  3.16562638852
g_rad_dmap_37pc_w1000_14.5ns_15.0ns.xvg  49.8143051433  3.14908100136
g_rad_dmap_37pc_w1000_15.0ns_15.5ns.xvg  52.2831084507  3.08082351928
g_rad_dmap_37pc_w1000_15.5ns_16.0ns.xvg  47.1863424367  3.18832417535
g_rad_dmap_37pc_w1000_16.0ns_16.5ns.xvg  47.7617204303  3.18173213606
g_rad_dmap_37pc_w1000_16.5ns_17.0ns.xvg  47.3583989596  3.19886668291
g_rad_dmap_37pc_w1000_17.0ns_17.5ns.xvg  48.7060088689  3.17146548675
g_rad_dmap_37pc_w1000_17.5ns_18.0ns.xvg  47.2701722196  3.18936803466
g_rad_dmap_37pc_w1000_18.0ns_18.5ns.xvg  45.8777792953  3.23509027836
g_rad_dmap_37pc_w1000_18.5ns_19.0ns.xvg  51.7691129928  3.10724687389
g_rad_dmap_37pc_w1000_19.0ns_19.5ns.xvg  50.6108644521  3.12915336361
g_rad_dmap_37pc_w1000_19.5ns_20.0ns.xvg  49.1301123508  3.15347807189
g_rad_dmap_37pc_w1000_20.0ns_20.5ns.xvg  47.1016382487  3.19831840595
g_rad_dmap_37pc_w1000_20.5ns_21.0ns.xvg  48.7327227873  3.17691475659
g_rad_dmap_37pc_w1000_21.0ns_21.5ns.xvg  43.6322460643  3.29244416177
g_rad_dmap_37pc_w1000_21.5ns_22.0ns.xvg  46.0659682451  3.22204750674
g_rad_dmap_37pc_w1000_22.0ns_22.5ns.xvg  46.9636336633  3.2161710058
g_rad_dmap_37pc_w1000_22.5ns_23.0ns.xvg  46.1381528982  3.22089752188
g_rad_dmap_37pc_w1000_23.0ns_23.5ns.xvg  45.875015519  3.23365312891
g_rad_dmap_37pc_w1000_23.5ns_24.0ns.xvg  49.7626916521  3.1320110826
g_rad_dmap_37pc_w1000_24.0ns_24.5ns.xvg  54.845615033  3.01161240779
g_rad_dmap_37pc_w1000_24.5ns_25.0ns.xvg  53.0967324079  3.06449710291
g_rad_dmap_37pc_w1000_25.0ns_25.5ns.xvg  51.8575599991  3.08766235978
g_rad_dmap_37pc_w1000_25.5ns_26.0ns.xvg  52.785702794  3.07541313129
g_rad_dmap_37pc_w1000_26.0ns_26.5ns.xvg  56.1959988297  3.00600539817
g_rad_dmap_37pc_w1000_26.5ns_27.0ns.xvg  50.9674182119  3.11818639147
g_rad_dmap_37pc_w1000_27.0ns_27.5ns.xvg  54.0806091925  3.03927238178
g_rad_dmap_37pc_w1000_27.5ns_28.0ns.xvg  52.3489549587  3.06963229452
g_rad_dmap_37pc_w1000_28.0ns_28.5ns.xvg  44.0698665067  3.26948412391
g_rad_dmap_37pc_w1000_28.5ns_29.0ns.xvg  50.7457221469  3.11595479876
g_rad_dmap_37pc_w1000_29.0ns_29.5ns.xvg  54.9646754881  3.00934701428
g_rad_dmap_37pc_w1000_29.5ns_30.0ns.xvg  50.4562649011  3.11305323252
g_rad_dmap_37pc_w1000_30.0ns_30.5ns.xvg  52.5735176026  3.05336051893
g_rad_dmap_37pc_w1000_30.5ns_31.0ns.xvg  49.6849088431  3.14609369607
g_rad_dmap_37pc_w1000_31.0ns_31.5ns.xvg  50.6239183915  3.10752435175
g_rad_dmap_37pc_w1000_31.5ns_32.0ns.xvg  54.320265691  3.01346170015
g_rad_dmap_37pc_w1000_32.0ns_32.5ns.xvg  52.8601465314  3.05895064274
g_rad_dmap_37pc_w1000_32.5ns_33.0ns.xvg  52.034653294  3.07219593387
g_rad_dmap_37pc_w1000_33.0ns_33.5ns.xvg  51.1766032237  3.09231707955
g_rad_dmap_37pc_w1000_33.5ns_34.0ns.xvg  53.2478364835  3.06540143982
g_rad_dmap_37pc_w1000_34.0ns_34.5ns.xvg  54.0103967066  3.04900266536
g_rad_dmap_37pc_w1000_34.5ns_35.0ns.xvg  53.2471415834  3.06390375475
g_rad_dmap_37pc_w1000_35.0ns_35.5ns.xvg  52.7824211697  3.07597654434
