File  Contact Angle  Base Radius
             
g_rad_dmap_22pc_w1000_0.0ns_0.5ns.xvg  99.8183151085  2.23524776016
g_rad_dmap_22pc_w1000_0.5ns_1.0ns.xvg  81.6912932991  2.7179594315
g_rad_dmap_22pc_w1000_1.0ns_1.5ns.xvg  89.6241540771  2.52979480014
g_rad_dmap_22pc_w1000_1.5ns_2.0ns.xvg  88.5417078131  2.54488847593
g_rad_dmap_22pc_w1000_2.0ns_2.5ns.xvg  85.6541624374  2.61945927517
g_rad_dmap_22pc_w1000_2.5ns_3.0ns.xvg  86.4642694389  2.59104593507
g_rad_dmap_22pc_w1000_3.0ns_3.5ns.xvg  84.9134708311  2.63852635179
g_rad_dmap_22pc_w1000_3.5ns_4.0ns.xvg  88.0522917838  2.56170620407
g_rad_dmap_22pc_w1000_4.0ns_4.5ns.xvg  88.761893974  2.55209240853
g_rad_dmap_22pc_w1000_4.5ns_5.0ns.xvg  90.7641061433  2.50342139773
g_rad_dmap_22pc_w1000_5.0ns_5.5ns.xvg  88.6114763594  2.55937906652
g_rad_dmap_22pc_w1000_5.5ns_6.0ns.xvg  92.8482076577  2.45581945637
g_rad_dmap_22pc_w1000_6.0ns_6.5ns.xvg  83.7816546817  2.66231486825
g_rad_dmap_22pc_w1000_6.5ns_7.0ns.xvg  85.250787847  2.63211118846
g_rad_dmap_22pc_w1000_7.0ns_7.5ns.xvg  89.5160801266  2.53328130484
g_rad_dmap_22pc_w1000_7.5ns_8.0ns.xvg  90.9035606323  2.50653090055
g_rad_dmap_22pc_w1000_8.0ns_8.5ns.xvg  91.5665220371  2.4833997186
g_rad_dmap_22pc_w1000_8.5ns_9.0ns.xvg  91.723207416  2.47803297061
g_rad_dmap_22pc_w1000_9.0ns_9.5ns.xvg  89.6802716296  2.52995938909
g_rad_dmap_22pc_w1000_9.5ns_10.0ns.xvg  93.4412247537  2.44266644209
g_rad_dmap_22pc_w1000_10.0ns_10.5ns.xvg  90.1334164761  2.5188582749
g_rad_dmap_22pc_w1000_10.5ns_11.0ns.xvg  91.4924272109  2.48493546769
g_rad_dmap_22pc_w1000_11.0ns_11.5ns.xvg  92.0172756637  2.47701028608
g_rad_dmap_22pc_w1000_11.5ns_12.0ns.xvg  91.3629308355  2.49645677417
g_rad_dmap_22pc_w1000_12.0ns_12.5ns.xvg  89.8050735583  2.52366133826
g_rad_dmap_22pc_w1000_12.5ns_13.0ns.xvg  86.6833404725  2.58945555494
g_rad_dmap_22pc_w1000_13.0ns_13.5ns.xvg  86.6257890355  2.58646977753
g_rad_dmap_22pc_w1000_13.5ns_14.0ns.xvg  86.1158346459  2.59081430035
g_rad_dmap_22pc_w1000_14.0ns_14.5ns.xvg  86.8568371364  2.59931859109
g_rad_dmap_22pc_w1000_14.5ns_15.0ns.xvg  82.8403623386  2.68569021251
g_rad_dmap_22pc_w1000_15.0ns_15.5ns.xvg  79.775263551  2.76426465886
g_rad_dmap_22pc_w1000_15.5ns_16.0ns.xvg  82.2627246579  2.71170381042
g_rad_dmap_22pc_w1000_16.0ns_16.5ns.xvg  88.0424180885  2.56663876505
g_rad_dmap_22pc_w1000_16.5ns_17.0ns.xvg  90.8215360904  2.50913006765
g_rad_dmap_22pc_w1000_17.0ns_17.5ns.xvg  91.674300661  2.48376057797
g_rad_dmap_22pc_w1000_17.5ns_18.0ns.xvg  92.534417145  2.45664430122
g_rad_dmap_22pc_w1000_18.0ns_18.5ns.xvg  93.1771731315  2.43921136903
g_rad_dmap_22pc_w1000_18.5ns_19.0ns.xvg  92.4825309915  2.45684897678
g_rad_dmap_22pc_w1000_19.0ns_19.5ns.xvg  92.0807541104  2.47235729839
g_rad_dmap_22pc_w1000_19.5ns_20.0ns.xvg  90.2574815682  2.51392825953
g_rad_dmap_22pc_w1000_20.0ns_20.5ns.xvg  85.3165608974  2.62422253777
g_rad_dmap_22pc_w1000_20.5ns_21.0ns.xvg  85.996280109  2.60775084131
g_rad_dmap_22pc_w1000_21.0ns_21.5ns.xvg  82.8842778546  2.68126738099
g_rad_dmap_22pc_w1000_21.5ns_22.0ns.xvg  81.1629961229  2.73172425102
g_rad_dmap_22pc_w1000_22.0ns_22.5ns.xvg  85.2413341077  2.62078467803
g_rad_dmap_22pc_w1000_22.5ns_23.0ns.xvg  87.0259988839  2.5754100445
g_rad_dmap_22pc_w1000_23.0ns_23.5ns.xvg  88.3691015096  2.55234616868
g_rad_dmap_22pc_w1000_23.5ns_24.0ns.xvg  82.8009124105  2.69352302453
g_rad_dmap_22pc_w1000_24.0ns_24.5ns.xvg  87.017990801  2.59534513742
g_rad_dmap_22pc_w1000_24.5ns_25.0ns.xvg  92.7316853776  2.4601594099
g_rad_dmap_22pc_w1000_25.0ns_25.5ns.xvg  89.1635822606  2.54262873171
g_rad_dmap_22pc_w1000_25.5ns_26.0ns.xvg  90.1424665043  2.52424375905
